Timestamp,Day Index,Day,Temp (F),Temp (C),OBS_1,OBS_2,OBS_3,OBS_4,OBS_5,OBS_6,OBS_7,OBS_8,OBS_9,OBS_10,OBS_11,OBS_12,OBS_13,OBS_14,OBS_15,OBS_16,OBS_17,OBS_18,OBS_19,OBS_20,OBS_21,OBS_22,OBS_23,OBS_24,OBS_25,OBS_26,OBS_27,OBS_28,OBS_29,OBS_30,OBS_31,OBS_32,OBS_33,OBS_34,OBS_35,OBS_36,OBS_37,OBS_38,OBS_39,OBS_40,OBS_41,OBS_42,OBS_43,OBS_44,OBS_45,OBS_46,OBS_47,OBS_48,OBS_49,OBS_50,OBS_51,OBS_52,OBS_53,OBS_54,OBS_55,OBS_56,OBS_57,Class
15:54:48,2,2024-09-08,86,30,10519.0,16453.0,11101.0,11105.0,10854.0,10599.0,10300.0,10053.0,9823.0,9719.0,9675.0,9762.0,9791.0,9814.0,9958.0,10036.0,10064.0,10047.0,9982.0,9989.0,10107.0,10300.0,10330.0,10318.0,10267.0,10183.0,10045.0,10047.0,10098.0,10309.0,10496.0,10638.0,10709.0,10711.0,10734.0,10609.0,10349.0,9878.0,9519.0,9436.0,9623.0,10003.0,10338.0,10513.0,10616.0,10761.0,10904.0,10969.0,11008.0,10893.0,10737.0,10659.0,10578.0,10514.0,10395.0,11051.0,9982.0,1
,2,,0,-17,8590.0,8359.0,8255.0,8491.0,8760.0,8920.0,8881.0,9050.0,9541.0,10152.0,10677.0,11089.0,11353.0,11577.0,11487.0,11199.0,11177.0,11052.0,10489.0,10083.0,9990.0,10566.0,11060.0,11471.0,11658.0,11373.0,10757.0,10238.0,10238.0,9893.0,9893.0,9800.0,9800.0,9690.0,9690.0,9611.0,9611.0,9651.0,9651.0,9828.0,9828.0,9978.0,9978.0,9981.0,9981.0,9839.0,9839.0,9759.0,9759.0,9722.0,9722.0,9603.0,9603.0,9520.0,9520.0,9884.0,8978.0,3
00:10:27,1,2024-10-08,86,30,10454.0,10964.0,11463.0,11518.0,11115.0,10638.0,10172.0,9898.0,9657.0,9470.0,9383.0,9421.0,9444.0,9493.0,9645.0,9852.0,9974.0,10001.0,10083.0,10134.0,10178.0,10260.0,10327.0,10306.0,10305.0,10288.0,10387.0,10424.0,10512.0,10509.0,10548.0,10497.0,10448.0,10440.0,10392.0,10359.0,10233.0,9604.0,8833.0,8650.0,9038.0,9625.0,10303.0,10852.0,11260.0,11550.0,11618.0,11573.0,11400.0,11253.0,11059.0,10900.0,10674.0,10492.0,10411.0,11066.0,10039.0,0
05:08:41,2,2024-09-08,89,31,10364.0,11057.0,11826.0,12082.0,11748.0,11119.0,10452.0,9947.0,9620.0,9304.0,9038.0,8974.0,9053.0,9169.0,9358.0,9444.0,9472.0,9725.0,10032.0,10123.0,10213.0,10313.0,10376.0,10405.0,10520.0,10492.0,10457.0,10516.0,10540.0,10465.0,10528.0,10448.0,10435.0,10510.0,10525.0,10487.0,10387.0,9645.0,8682.0,8201.0,8400.0,9119.0,10006.0,10816.0,11402.0,11741.0,11955.0,11962.0,11804.0,11631.0,11397.0,11138.0,10955.0,10825.0,10614.0,11241.0,10257.0,0
22:33:20,3,2024-08-08,87,30,10837.0,11731.0,12108.0,11848.0,11333.0,10713.0,10043.0,9452.0,9046.0,8932.0,8956.0,8983.0,9018.0,9242.0,9515.0,9687.0,9813.0,9965.0,10047.0,10132.0,10198.0,10308.0,10410.0,10506.0,10536.0,10598.0,10576.0,10556.0,10548.0,10510.0,10468.0,10428.0,10500.0,10544.0,10464.0,10408.0,9999.0,9033.0,8284.0,8280.0,8851.0,9588.0,10438.0,11161.0,11728.0,11980.0,12033.0,11918.0,11749.0,11533.0,11303.0,11026.0,10867.0,10609.0,10415.0,10972.0,10007.0,0
,1,2024-10-08,88,31,10655.0,11570.0,12075.0,11929.0,11429.0,10702.0,10068.0,9679.0,9421.0,9138.0,8955.0,9037.0,9164.0,9302.0,9385.0,9487.0,9676.0,9737.0,9945.0,10140.0,10225.0,10236.0,10334.0,10405.0,10485.0,10510.0,10560.0,10601.0,10561.0,10584.0,10573.0,10578.0,10532.0,10421.0,10404.0,10452.0,10183.0,9114.0,8298.0,8165.0,8661.0,9604.0,10492.0,11168.0,11649.0,11978.0,12069.0,12025.0,11845.0,11513.0,11237.0,11069.0,10877.0,10630.0,10508.0,11055.0,10205.0,0
16:14:16,2,2024-09-08,86,30,10275.0,10553.0,10795.0,10859.0,10729.0,10560.0,10366.0,10066.0,9854.0,9706.0,9666.0,9759.0,9832.0,9920.0,9974.0,10092.0,10155.0,10124.0,10186.0,10272.0,10238.0,10275.0,10363.0,10382.0,10414.0,10362.0,10248.0,10227.0,10268.0,10285.0,10375.0,10354.0,10273.0,10374.0,10416.0,10381.0,10246.0,9892.0,9602.0,9570.0,9784.0,10090.0,10330.0,10487.0,10702.0,10782.0,10786.0,10772.0,10853.0,10848.0,10724.0,10543.0,10436.0,10372.0,10382.0,10782.0,10045.0,1
03:13:58,2,2024-09-08,89,31,10655.0,11422.0,11956.0,11976.0,11469.0,10769.0,10163.0,9688.0,9368.0,9007.0,8801.0,8823.0,8926.0,9181.0,9451.0,9680.0,9854.0,9980.0,10116.0,10237.0,10358.0,10339.0,10423.0,10512.0,10448.0,10326.0,10324.0,10307.0,10337.0,10536.0,10546.0,10461.0,10392.0,10517.0,10542.0,10536.0,10267.0,9233.0,8282.0,8047.0,8593.0,9464.0,10398.0,11183.0,11837.0,12099.0,12116.0,11994.0,11836.0,11664.0,11416.0,11114.0,10865.0,10667.0,10491.0,11009.0,10053.0,0
05:31:06,2,2024-09-08,89,31,10551.0,11319.0,11940.0,11965.0,11585.0,10902.0,10212.0,9667.0,9309.0,9165.0,9066.0,9124.0,9121.0,9221.0,9387.0,9488.0,9710.0,9931.0,10034.0,10131.0,10261.0,10297.0,10353.0,10427.0,10525.0,10574.0,10446.0,10417.0,10323.0,10363.0,10465.0,10463.0,10420.0,10337.0,10406.0,10553.0,10343.0,9431.0,8482.0,8343.0,8879.0,9587.0,10327.0,10980.0,11468.0,11771.0,11941.0,11925.0,11745.0,11457.0,11233.0,11044.0,10865.0,10678.0,10458.0,11173.0,10115.0,0
00:08:34,2,2024-09-08,88,31,10578.0,11319.0,12059.0,12116.0,11598.0,10801.0,10167.0,9672.0,9289.0,9009.0,8891.0,8984.0,9077.0,9179.0,9293.0,9539.0,9707.0,9804.0,9994.0,10212.0,10397.0,10487.0,10522.0,10544.0,10517.0,10443.0,10440.0,10387.0,10354.0,10449.0,10519.0,10521.0,10443.0,10279.0,10304.0,10375.0,10237.0,9437.0,8508.0,8177.0,8504.0,9320.0,10261.0,11063.0,11595.0,11965.0,12057.0,11954.0,11795.0,11647.0,11383.0,11132.0,10905.0,10794.0,10578.0,11203.0,10092.0,0
14:37:58,2,2024-09-08,86,30,10546.0,10986.0,11152.0,11053.0,10822.0,10487.0,10232.0,10026.0,9878.0,9885.0,9748.0,9608.0,9582.0,9670.0,9801.0,9984.0,10113.0,10094.0,10151.0,10190.0,10260.0,10279.0,10332.0,10301.0,10329.0,10419.0,10422.0,10378.0,10364.0,10381.0,10458.0,10431.0,10353.0,10245.0,10250.0,10289.0,10138.0,9769.0,9486.0,9462.0,9653.0,10021.0,10297.0,10617.0,10759.0,10925.0,11071.0,11055.0,10996.0,10831.0,10691.0,10635.0,10490.0,10428.0,10308.0,10731.0,9913.0,1
03:29:43,2,2024-09-08,89,31,10435.0,11154.0,11960.0,12041.0,11650.0,11054.0,10374.0,9848.0,9483.0,9267.0,9015.0,8927.0,9015.0,9252.0,9355.0,9487.0,9591.0,9697.0,9876.0,9992.0,10002.0,10233.0,10430.0,10464.0,10506.0,10563.0,10566.0,10502.0,10570.0,10619.0,10524.0,10397.0,10418.0,10380.0,10283.0,10403.0,10461.0,9762.0,8694.0,8208.0,8366.0,9021.0,9973.0,10796.0,11356.0,11739.0,11981.0,12121.0,12103.0,11885.0,11561.0,11222.0,10956.0,10694.0,10488.0,11241.0,10034.0,0
02:58:46,1,2024-10-08,88,31,10426.0,10970.0,11825.0,12103.0,11848.0,11171.0,10470.0,9956.0,9508.0,9144.0,9037.0,8954.0,9006.0,9090.0,9321.0,9529.0,9624.0,9718.0,9909.0,10107.0,10200.0,10181.0,10362.0,10490.0,10438.0,10429.0,10471.0,10488.0,10550.0,10550.0,10486.0,10429.0,10419.0,10509.0,10533.0,10501.0,10423.0,9877.0,8851.0,8245.0,8282.0,8911.0,9883.0,10742.0,11416.0,11853.0,12002.0,12008.0,11923.0,11701.0,11437.0,11199.0,11003.0,10727.0,10499.0,11223.0,10108.0,0
07:22:53,2,,86,30,10254.0,9551.0,9238.0,9055.0,8925.0,8923.0,9022.0,9176.0,9334.0,9388.0,9499.0,9663.0,9766.0,9844.0,10042.0,10316.0,10469.0,10412.0,10366.0,10473.0,10596.0,10541.0,10442.0,10487.0,10559.0,10610.0,10488.0,10473.0,10541.0,10485.0,10147.0,9190.0,8324.0,8067.0,8468.0,9318.0,10277.0,11128.0,11817.0,12179.0,12269.0,12271.0,12091.0,11894.0,11530.0,11241.0,10975.0,10694.0,10297.0,10110.0,10059.0,9989.0,10072.0,10021.0,9916.0,10444.0,9448.0,0
21:38:39,3,2024-08-08,87,30,10313.0,10873.0,11547.0,11798.0,11461.0,10935.0,10422.0,9922.0,9441.0,9193.0,9203.0,9339.0,9432.0,9450.0,9544.0,9750.0,9921.0,10008.0,10013.0,10024.0,10066.0,10237.0,10393.0,10448.0,10447.0,10388.0,10429.0,10467.0,10553.0,10610.0,10346.0,10309.0,10367.0,10386.0,10417.0,10372.0,10242.0,9689.0,8907.0,8600.0,8809.0,9393.0,10144.0,10856.0,11312.0,11618.0,11640.0,11645.0,11562.0,11452.0,11235.0,10966.0,10775.0,10665.0,10513.0,11110.0,10039.0,0
